"g0.bTRUE","Model","Subtype"
"1",-0.00690814358378997,"Model A","Spread.two"
"1",-0.00442350751513592,"Model A","Spread.two"
"1",-0.00586797756020651,"Model A","Spread.two"
"1",-0.00407630594033898,"Model A","Spread.two"
"1",-0.00754873020137965,"Model A","Spread.two"
"1",-0.00520961290690664,"Model A","Spread.two"
"1",-0.00672234321267966,"Model A","Spread.two"
"1",-0.00442719574519352,"Model A","Spread.two"
"1",-0.0030619743521806,"Model A","Spread.two"
"1",-0.00747746580629515,"Model A","Spread.two"
"1",-0.00660102817657873,"Model A","Spread.two"
"1",-0.00406524751181755,"Model A","Spread.two"
"1",-0.00552763394658349,"Model A","Spread.two"
"1",-0.00402005112628642,"Model A","Spread.two"
"1",-0.00561295654656834,"Model A","Spread.two"
"1",-0.00658728417825642,"Model A","Spread.two"
"1",-0.00753022383377741,"Model A","Spread.two"
"1",-0.00793666403520477,"Model A","Spread.two"
"1",-0.00298408943098405,"Model A","Spread.two"
"1",-0.00525842052136298,"Model A","Spread.two"
"1",-0.0049147193547361,"Model A","Spread.two"
"1",-0.007710345528352,"Model A","Spread.two"
"1",-0.00691699147517724,"Model A","Spread.two"
"1",-0.00383078817127869,"Model A","Spread.two"
"1",-0.00711007998526245,"Model A","Spread.two"
"1",-0.0086776133581043,"Model A","Spread.two"
"1",-0.00698106346573693,"Model A","Spread.two"
"1",-0.0073153124416127,"Model A","Spread.two"
"1",-0.00266492528652224,"Model A","Spread.two"
"1",-0.00675277342682271,"Model A","Spread.two"
"1",-0.0062121274401684,"Model A","Spread.two"
"1",-0.00277406997199474,"Model A","Spread.two"
"1",-0.0044293715793468,"Model A","Spread.two"
"1",-0.00716577052399028,"Model A","Spread.two"
"1",-0.00200614703088278,"Model A","Spread.two"
"1",-0.00685146865771749,"Model A","Spread.two"
"1",-0.00260291625076931,"Model A","Spread.two"
"1",-0.00599206757581272,"Model A","Spread.two"
"1",-0.00630403176246968,"Model A","Spread.two"
"1",-0.00711049719903421,"Model A","Spread.two"
"1",-0.00487336102915514,"Model A","Spread.two"
"1",-0.0047970902173609,"Model A","Spread.two"
"1",-0.00706812427398327,"Model A","Spread.two"
"1",-0.00821933710719115,"Model A","Spread.two"
"1",-0.00502583734302184,"Model A","Spread.two"
"1",-0.00680492309176824,"Model A","Spread.two"
"1",-0.00470503249522881,"Model A","Spread.two"
"1",-0.00523315604163774,"Model A","Spread.two"
"1",-0.00656992484873172,"Model A","Spread.two"
"1",-0.00656942432613264,"Model A","Spread.two"
"1",-0.00779833404924078,"Model A","Spread.two"
"1",-0.00796580657950297,"Model A","Spread.two"
"1",-0.00608188431442053,"Model A","Spread.two"
"1",-0.00625516152495222,"Model A","Spread.two"
"1",-0.0102757038606244,"Model A","Spread.two"
"1",-0.00607608651990548,"Model A","Spread.two"
"1",-0.00786202375989313,"Model A","Spread.two"
"1",-0.00416413736285005,"Model A","Spread.two"
"1",-0.00701801656971051,"Model A","Spread.two"
"1",-0.00781629026500914,"Model A","Spread.two"
"1",-0.00357298760361747,"Model A","Spread.two"
"1",-0.00447598381939211,"Model A","Spread.two"
"1",-0.0072571637740832,"Model A","Spread.two"
"1",-0.00647944515931844,"Model A","Spread.two"
"1",-0.00516866335356005,"Model A","Spread.two"
"1",-0.00624435222686121,"Model A","Spread.two"
"1",-0.0067454922059327,"Model A","Spread.two"
"1",-0.0079532205216064,"Model A","Spread.two"
"1",-0.00463270272004847,"Model A","Spread.two"
"1",-0.00374163423376998,"Model A","Spread.two"
"1",-0.00586327473746353,"Model A","Spread.two"
"1",-0.00704475358226864,"Model A","Spread.two"
"1",-0.00645498187050899,"Model A","Spread.two"
"1",-0.00400572879116726,"Model A","Spread.two"
"1",-0.00566709079917616,"Model A","Spread.two"
"1",-0.0062762061696784,"Model A","Spread.two"
"1",-0.0047127481237242,"Model A","Spread.two"
"1",-0.00799163890185758,"Model A","Spread.two"
"1",-0.00360866353563572,"Model A","Spread.two"
"1",-0.00235966994855188,"Model A","Spread.two"
"1",-0.00972207197589234,"Model A","Spread.two"
"1",-0.0071265178305611,"Model A","Spread.two"
"1",-0.00358060368422312,"Model A","Spread.two"
"1",-0.00569053811504433,"Model A","Spread.two"
"1",-0.00397562886869392,"Model A","Spread.two"
"1",-0.00789670260227209,"Model A","Spread.two"
"1",-0.00281352216806241,"Model A","Spread.two"
"1",-0.00573892648274528,"Model A","Spread.two"
"1",-0.00640179888358012,"Model A","Spread.two"
"1",-0.00693225481477633,"Model A","Spread.two"
"1",-0.00805199814542977,"Model A","Stratified"
"1",-0.00825092081610347,"Model A","Stratified"
"1",-0.00769775011380836,"Model A","Stratified"
"1",-0.0135468720469311,"Model A","Stratified"
"1",-0.00736303777299628,"Model A","Stratified"
"1",-0.0114926740721384,"Model A","Stratified"
"1",-0.00758857754613776,"Model A","Stratified"
"1",-0.0135107648254047,"Model A","Stratified"
"1",-0.0114917975744992,"Model A","Stratified"
"1",-0.00758596704572399,"Model A","Stratified"
"1",-0.0135148687037843,"Model A","Stratified"
"1",-0.011493180999182,"Model A","Stratified"
"1",-0.0114930795181233,"Model A","Stratified"
"1",-0.00999800961219553,"Model A","Stratified"
"1",-0.0111492104137648,"Model A","Stratified"
"1",-0.0165759750547663,"Model A","Stratified"
"1",-0.0117962251556349,"Model A","Stratified"
"1",-0.00886510880023237,"Model A","Stratified"
"1",-0.00850625510493675,"Model A","Stratified"
"1",-0.00742176944012883,"Model A","Stratified"
"1",-0.0121815787287473,"Model A","Stratified"
"1",-0.00952208248664196,"Model A","Stratified"
"1",-0.0151584068416223,"Model A","Stratified"
"1",-0.0102799118797111,"Model A","Stratified"
"1",-0.0087320966432942,"Model A","Stratified"
"1",-0.00813469105627231,"Model A","Stratified"
"1",-0.011461177353002,"Model A","Stratified"
"1",-0.00939762833863121,"Model A","Stratified"
"1",-0.00740225549183455,"Model A","Stratified"
"1",-0.0030869202273554,"Model A","Stratified"
"1",-0.00889710418655541,"Model A","Stratified"
"1",-0.0129100070626132,"Model A","Stratified"
"1",-0.01171276321294,"Model A","Stratified"
"1",-0.00941695278998123,"Model A","Stratified"
"1",-0.00449481622603597,"Model A","Stratified"
"1",-0.00911526097422191,"Model A","Stratified"
"1",-0.00808229114139921,"Model A","Stratified"
"1",-0.0100142199251601,"Model A","Stratified"
"1",-0.0050085026691873,"Model A","Stratified"
"1",-0.0119704601974743,"Model A","Stratified"
"1",-0.0112735928840287,"Model A","Stratified"
"1",-0.0135303976488609,"Model A","Stratified"
"1",-0.0108462051838802,"Model A","Stratified"
"1",-0.0102977583225183,"Model A","Stratified"
"1",-0.0128942070227184,"Model A","Stratified"
"1",-0.00769500462419464,"Model A","Stratified"
"1",-0.00719908112053846,"Model A","Stratified"
"1",-0.0112026914663555,"Model A","Stratified"
"1",-0.0108790637189222,"Model A","Stratified"
"1",-0.0135809567034742,"Model A","Stratified"
"1",-0.0109280883191462,"Model A","Stratified"
"1",-0.0145004640600603,"Model A","Stratified"
"1",-0.00345081930969356,"Model A","Stratified"
"1",-0.0129150197495808,"Model A","Stratified"
"1",-0.0110433050153613,"Model A","Stratified"
"1",-0.00814261985505616,"Model A","Stratified"
"1",-0.00493397789933462,"Model A","Stratified"
"1",-0.00701658978743059,"Model A","Stratified"
"1",-0.00733004284707681,"Model A","Stratified"
"1",-0.0135400334930651,"Model A","Stratified"
"1",-0.00810049609907988,"Model A","Stratified"
"1",-0.00707376325866384,"Model A","Stratified"
"1",-0.0134528377018289,"Model A","Stratified"
"1",-0.00641884509368802,"Model A","Stratified"
"1",-0.00949890086721821,"Model A","Stratified"
"1",-0.0109797302322502,"Model A","Stratified"
"1",-0.00756225898280952,"Model A","Stratified"
"1",-0.0103905415433861,"Model A","Stratified"
"1",-0.00956609253818945,"Model A","Stratified"
"1",-0.00545896491033232,"Model A","Stratified"
"1",-0.00951799163130804,"Model A","Stratified"
"1",-0.0109513930497297,"Model A","Stratified"
"1",-0.00686028203908829,"Model A","Stratified"
"1",-0.00809262946179795,"Model A","Stratified"
"1",-0.00814032358507527,"Model A","Stratified"
"1",-0.00491568983744252,"Model A","Stratified"
"1",-0.00643051830203549,"Model A","Stratified"
"1",-0.0107209794378453,"Model A","Stratified"
"1",-0.0118334667429427,"Model A","Stratified"
"1",-0.00734925642876637,"Model A","Stratified"
"1",-0.00790115992769093,"Model A","Stratified"
"1",-0.00774555399735077,"Model A","Stratified"
"1",-0.00900221232501531,"Model A","Stratified"
"1",-0.00941486911957768,"Model A","Stratified"
"1",-0.0077048520855899,"Model A","Stratified"
"1",-0.00856935510809092,"Model A","Stratified"
"1",-0.00910861328005592,"Model A","Stratified"
"1",-0.00897515835647217,"Model A","Stratified"
"1",-0.0086689751293262,"Model A","Stratified"
"1",-0.00657444736557009,"Model A","Stratified"
"1",-0.00810980891883123,"Model A","Stratified"
"1",-0.00739429394206354,"Model A","Stratified"
"1",-0.012799716746736,"Model A","Stratified"
"1",-0.00924708412842217,"Model A","Stratified"
"1",-0.00877960280996672,"Model A","Stratified"
